"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 13 13:03:36 UTC 2026","Tue Jan 13 13:03:37 UTC 2026","491","tests","test_disabled_button","","","","User can disable the button again after enabling",""
"passed","Tue Jan 13 13:03:41 UTC 2026","Tue Jan 13 13:03:41 UTC 2026","471","tests","test_mult_checkbox","","","","Check that the submit button is always enabled",""
"passed","Tue Jan 13 13:03:40 UTC 2026","Tue Jan 13 13:03:42 UTC 2026","1923","tests","test_modal","","","","Selected checkboxes section appears only after sending",""
"passed","Tue Jan 13 13:03:45 UTC 2026","Tue Jan 13 13:03:46 UTC 2026","891","tests","test_new_tab_button","","","","New tab shows correct result text after button click",""
"passed","Tue Jan 13 13:03:37 UTC 2026","Tue Jan 13 13:03:37 UTC 2026","525","tests","test_confirmation_box","","","","Check button exists",""
"passed","Tue Jan 13 13:03:55 UTC 2026","Tue Jan 13 13:03:56 UTC 2026","864","tests","test_mult_checkbox","","","","test_three_checkboxes_selected_show_result[chromium-indexes2-three]",""
"passed","Tue Jan 13 13:03:34 UTC 2026","Tue Jan 13 13:03:35 UTC 2026","762","tests","test_alert_box","","","","Check button exists",""
"passed","Tue Jan 13 13:03:36 UTC 2026","Tue Jan 13 13:03:37 UTC 2026","488","tests","test_drag_n_drop_images","","","","Two squares exist",""
"passed","Tue Jan 13 13:03:44 UTC 2026","Tue Jan 13 13:03:45 UTC 2026","744","tests","test_input_password","","","","test_invalid_password[chromium-short]",""
"passed","Tue Jan 13 13:03:44 UTC 2026","Tue Jan 13 13:03:45 UTC 2026","943","tests","test_modal","","","","Modal has Cancel and Send buttons",""
"passed","Tue Jan 13 13:03:59 UTC 2026","Tue Jan 13 13:03:59 UTC 2026","807","tests","test_input_email","","","","test_invalid_email[chromium-test test@test.com]",""
"passed","Tue Jan 13 13:03:52 UTC 2026","Tue Jan 13 13:03:53 UTC 2026","912","tests","test_mult_checkbox","","","","test_three_checkboxes_selected_show_result[chromium-indexes1-two]",""
"passed","Tue Jan 13 13:03:50 UTC 2026","Tue Jan 13 13:03:51 UTC 2026","439","tests","test_single_checkbox","","","","Check that there is exactly one checkbox on the page",""
"passed","Tue Jan 13 13:03:46 UTC 2026","Tue Jan 13 13:03:47 UTC 2026","682","tests","test_input_text","","","","test_invalid_text[chromium-too_short_valid]",""
"passed","Tue Jan 13 13:03:51 UTC 2026","Tue Jan 13 13:03:52 UTC 2026","840","tests","test_input_password","","","","test_valid_password[chromium-1]",""
"passed","Tue Jan 13 13:03:45 UTC 2026","Tue Jan 13 13:03:46 UTC 2026","905","tests","test_input_text","","","","test_valid_text[chromium-min]",""
"passed","Tue Jan 13 13:03:39 UTC 2026","Tue Jan 13 13:03:39 UTC 2026","667","tests","test_drag_n_drop_images","","","","Dropping smiley into square 2 shows result end empty square 1",""
"passed","Tue Jan 13 13:03:59 UTC 2026","Tue Jan 13 13:04:00 UTC 2026","852","tests","test_input_email","","","","test_invalid_email[chromium-test@.com]",""
"passed","Tue Jan 13 13:03:48 UTC 2026","Tue Jan 13 13:03:49 UTC 2026","607","tests","test_single_checkbox","","","","Ensure the user can select the single checkbox",""
"passed","Tue Jan 13 13:03:47 UTC 2026","Tue Jan 13 13:03:48 UTC 2026","677","tests","test_prompt_box","","","","Clicking Cancel on prompt displays Cancel result",""
"passed","Tue Jan 13 13:03:48 UTC 2026","Tue Jan 13 13:03:49 UTC 2026","608","tests","test_prompt_box","","","","Entering empty in prompt and clicking OK displays result",""
"passed","Tue Jan 13 13:03:54 UTC 2026","Tue Jan 13 13:03:55 UTC 2026","539","tests","test_mult_checkbox","","","","test_three_checkboxes_labels[chromium-3-Three]",""
"passed","Tue Jan 13 13:03:58 UTC 2026","Tue Jan 13 13:03:59 UTC 2026","736","tests","test_input_email","","","","test_invalid_email[chromium-test@@test.com]",""
"passed","Tue Jan 13 13:03:46 UTC 2026","Tue Jan 13 13:03:47 UTC 2026","870","tests","test_new_tab_link","","","","The link should open the correct URL in a new tab",""
"passed","Tue Jan 13 13:03:39 UTC 2026","Tue Jan 13 13:03:40 UTC 2026","729","tests","test_drag_n_drop_images","","","","Dropping smiley into square 1 shows result end empty square 2",""
"passed","Tue Jan 13 13:03:37 UTC 2026","Tue Jan 13 13:03:37 UTC 2026","509","tests","test_drag_n_drop_images","","","","Smiley exist",""
"passed","Tue Jan 13 13:03:41 UTC 2026","Tue Jan 13 13:03:42 UTC 2026","830","tests","test_mult_checkbox","","","","Verify no result is displayed if no checkbox is selected",""
"passed","Tue Jan 13 13:03:52 UTC 2026","Tue Jan 13 13:03:52 UTC 2026","588","tests","test_mult_checkbox","","","","test_three_checkboxes_can_be_selected[chromium-2]",""
"passed","Tue Jan 13 13:03:49 UTC 2026","Tue Jan 13 13:03:49 UTC 2026","468","tests","test_simple_button","","","","Check that simple button exists",""
"passed","Tue Jan 13 13:03:58 UTC 2026","Tue Jan 13 13:03:58 UTC 2026","807","tests","test_input_text","","","","test_invalid_text[chromium-only_space]",""
"passed","Tue Jan 13 13:03:55 UTC 2026","Tue Jan 13 13:03:56 UTC 2026","818","tests","test_input_email","","","","test_invalid_email[chromium-@test.com]",""
"passed","Tue Jan 13 13:03:36 UTC 2026","Tue Jan 13 13:03:36 UTC 2026","518","tests","test_input_email","","","","Email input should be visible",""
"passed","Tue Jan 13 13:03:40 UTC 2026","Tue Jan 13 13:03:40 UTC 2026","485","tests","test_input_password","","","","Password input should be visible",""
"passed","Tue Jan 13 13:03:46 UTC 2026","Tue Jan 13 13:03:47 UTC 2026","1449","tests","test_modal","","","","Selected section does not appear until Send is clicked",""
"passed","Tue Jan 13 13:03:35 UTC 2026","Tue Jan 13 13:03:36 UTC 2026","662","tests","test_alert_box","","","","Clicking alert button shows alert with correct text",""
"passed","Tue Jan 13 13:03:38 UTC 2026","Tue Jan 13 13:03:39 UTC 2026","596","tests","test_drag_n_drop_boxes","","","","Check that two squares are displayed on the page",""
"passed","Tue Jan 13 13:03:49 UTC 2026","Tue Jan 13 13:03:50 UTC 2026","1036","tests","test_new_tab_link","","","","New tab shows correct result text after link click",""
"passed","Tue Jan 13 13:03:51 UTC 2026","Tue Jan 13 13:03:52 UTC 2026","817","tests","test_input_email","","","","Valid email input",""
"passed","Tue Jan 13 13:03:43 UTC 2026","Tue Jan 13 13:03:44 UTC 2026","752","tests","test_input_password","","","","Password input with only space should show required error",""
"passed","Tue Jan 13 13:03:43 UTC 2026","Tue Jan 13 13:03:44 UTC 2026","928","tests","test_modal","","","","Modal has checkbox",""
"passed","Tue Jan 13 13:03:42 UTC 2026","Tue Jan 13 13:03:43 UTC 2026","990","tests","test_mult_checkbox","","","","test_three_checkboxes_selected_show_result[chromium-indexes0-one]",""
"passed","Tue Jan 13 13:03:59 UTC 2026","Tue Jan 13 13:04:00 UTC 2026","899","tests","test_input_email","","","","test_invalid_email[chromium-test@test..com]",""
"passed","Tue Jan 13 13:03:49 UTC 2026","Tue Jan 13 13:03:49 UTC 2026","505","tests","test_single_checkbox","","","","Check that the submit button is always enabled",""
"passed","Tue Jan 13 13:03:38 UTC 2026","Tue Jan 13 13:03:38 UTC 2026","896","tests","test_drag_n_drop_images","","","","Smiley can be dragged infinitely between squares",""
"passed","Tue Jan 13 13:03:37 UTC 2026","Tue Jan 13 13:03:38 UTC 2026","844","tests","test_disabled_button","","","","Press button and check result",""
"passed","Tue Jan 13 13:03:47 UTC 2026","Tue Jan 13 13:03:47 UTC 2026","559","tests","test_input_text","","","","Empty input should show required field error",""
"passed","Tue Jan 13 13:03:54 UTC 2026","Tue Jan 13 13:03:55 UTC 2026","846","tests","test_input_text","","","","test_valid_text[chromium-random]",""
"passed","Tue Jan 13 13:03:40 UTC 2026","Tue Jan 13 13:03:41 UTC 2026","866","tests","test_input_email","","","","test_invalid_email[chromium-A]",""
"passed","Tue Jan 13 13:03:51 UTC 2026","Tue Jan 13 13:03:52 UTC 2026","541","tests","test_prompt_box","","","","Entering text in prompt and clicking OK displays result",""
"passed","Tue Jan 13 13:03:38 UTC 2026","Tue Jan 13 13:03:39 UTC 2026","633","tests","test_confirmation_box","","","","Click OK on confirmation shows correct result",""
"passed","Tue Jan 13 13:03:52 UTC 2026","Tue Jan 13 13:03:53 UTC 2026","843","tests","test_input_password","","","","test_invalid_password[chromium-no_upper]",""
"passed","Tue Jan 13 13:03:55 UTC 2026","Tue Jan 13 13:03:55 UTC 2026","530","tests","test_mult_checkbox","","","","test_three_checkboxes_can_be_selected[chromium-3]",""
"passed","Tue Jan 13 13:03:45 UTC 2026","Tue Jan 13 13:03:45 UTC 2026","485","tests","test_input_text","","","","Input field should be visible",""
"passed","Tue Jan 13 13:03:48 UTC 2026","Tue Jan 13 13:03:48 UTC 2026","592","tests","test_single_checkbox","","","","Verify the label of the single checkbox",""
"passed","Tue Jan 13 13:03:54 UTC 2026","Tue Jan 13 13:03:55 UTC 2026","735","tests","test_input_password","","","","test_valid_password[chromium-2]",""
"passed","Tue Jan 13 13:03:53 UTC 2026","Tue Jan 13 13:03:53 UTC 2026","434","tests","test_mult_checkbox","","","","test_three_checkboxes_labels[chromium-2-Two]",""
"passed","Tue Jan 13 13:03:34 UTC 2026","Tue Jan 13 13:03:35 UTC 2026","738","tests","test_disabled_button","","","","Button should be disabled by default",""
"passed","Tue Jan 13 13:03:58 UTC 2026","Tue Jan 13 13:03:59 UTC 2026","759","tests","test_input_email","","","","test_invalid_email[chromium-test@test.]",""
"passed","Tue Jan 13 13:03:49 UTC 2026","Tue Jan 13 13:03:49 UTC 2026","578","tests","test_mult_checkbox","","","","test_three_checkboxes_can_be_selected[chromium-1]",""
